,language,group
Delete,JavaScript,Test
ScienceDirect,JavaScript,Test
TextSummary,JavaScript,Test
MoodleConsumer,JavaScript,Test
LastAnnotation,JavaScript,Test
Manual,JavaScript,Test
Assessing,JavaScript,Test
HTML,JavaScript,Test
Update,JavaScript,Test
Hypothesis,JavaScript,Test
AnnotationServer,JavaScript,Test
Hierarchy,JavaScript,Test
MoodleReport,JavaScript,Test
MoodleResource,JavaScript,Test
Selector,JavaScript,Test
DOI,JavaScript,Test
Categorize,JavaScript,Test
ExportCodebook,JavaScript,Test
Springer,JavaScript,Test
Canvas,JavaScript,Test
UserFilter,JavaScript,Test
Commenting,JavaScript,Test
CodebookDelete,JavaScript,Test
Hosting,JavaScript,Test
MoodleComment,JavaScript,Test
SidebarNavigation,JavaScript,Test
MoodleProvider,JavaScript,Test
ImportAnnotations,JavaScript,Test
Alphabetical,JavaScript,Test
MoodleResourceBased,JavaScript,Test
DeleteAll,JavaScript,Test
Remote,JavaScript,Test
JSON,JavaScript,Test
ApplicationBased,JavaScript,Test
URL,JavaScript,Test
URN,JavaScript,Test
TXT,JavaScript,Test
Autocomplete,JavaScript,Test
GoogleSheetProvider,JavaScript,Test
PreviousAssignments,JavaScript,Test
Codebook,JavaScript,Test
PDF,JavaScript,Test
Number,JavaScript,Test
AnnotatedPDF,JavaScript,Test
SentimentAnalysis,JavaScript,Test
Create,JavaScript,Test
GoogleSheetConsumer,JavaScript,Test
CodebookUpdate,JavaScript,Test
Export,JavaScript,Test
BrowserStorage,JavaScript,Test
Dropbox,JavaScript,Test
BuiltIn,JavaScript,Test
WebAnnotationClient,JavaScript,Test
Classifying,JavaScript,Test
Replying,JavaScript,Test
ACM,JavaScript,Test
Date,JavaScript,Test
AnnotationList,JavaScript,Test
Neo4J,JavaScript,Test
RenameCodebook,JavaScript,Test
SuggestedLiterature,JavaScript,Test
Multivalued,JavaScript,Test
ImportCodebook,JavaScript,Test
