,1None,0None,2None,4None,3None,5None
Delete,0.0,0.0,0.0,1.0001514921986783,0.0,0.0
ScienceDirect,0.0,1.161960267456198,0.0,0.0,0.0,0.0
TextSummary,0.0,0.0,1.000350754121361,0.0,0.0,0.0
MoodleConsumer,0.0,1.000729820464166,0.0,0.0,0.0,0.0
LastAnnotation,0.0,0.0,1.0005125576627372,0.0,0.0,0.0
Manual,0.0,1.1316534978706612,0.0,0.0,0.0,0.0
Assessing,0.0,0.0,0.0,0.0,1.0008326394671108,0.0
HTML,1.0378548895899051,0.0,0.0,0.0,0.0,0.0
Update,0.0,0.0,0.0,1.0001680389850445,0.0,0.0
Hypothesis,0.0,1.0140236275025758,0.0,0.0,0.0,0.0
AnnotationServer,0.0,1.2845707050608786,0.0,0.0,0.0,0.0
Hierarchy,0.0,1.0304829803582511,0.0,0.0,0.0,0.0
MoodleReport,0.0,1.5213594893924711,0.0,0.0,0.0,0.0
MoodleResource,0.0,1.0003443152881222,0.0,0.0,0.0,0.5954898221423967
Selector,0.0,0.0,0.0,1.000127985523543,0.4216302232765839,0.0
DOI,0.0,1.20142846837,0.0,0.0,0.0,0.0
Categorize,0.0,0.0,0.0,0.0,1.000384467512495,0.0
ExportCodebook,0.0,1.1127152874166768,0.0,0.0,0.0,0.0
Springer,0.0,1.0006002717815043,0.3929906961585056,0.0,0.0,0.0
Canvas,0.0,0.0,1.0005260389268806,0.0,0.0,0.0
UserFilter,0.0,0.0,0.0,1.0000660022440764,0.0,0.0
Commenting,0.0,0.0,0.0,1.0003685787654526,0.9914310697408251,0.0
CodebookDelete,0.0,1.0001505978735583,0.0,0.0,0.0,0.0
MoodleComment,0.0,1.0049307121236453,0.0,0.0,0.6505289459652546,0.670850321846749
SidebarNavigation,0.0,1.0003268540908152,0.0,0.0,0.0,0.0
MoodleProvider,0.0,1.000020614221339,0.0,0.0,0.0,0.0
ImportAnnotations,0.0,0.0,1.0000870774466435,0.0,0.0,0.0
Alphabetical,1.1025641025641035,0.0,0.0,0.0,0.0,0.0
DeleteAll,0.0,0.3846368957977353,0.30204455235328004,1.0001685164799832,0.0,0.0
Remote,0.0,1.001896345916542,0.0,0.0,0.0,0.0
JSON,0.0,0.0,1.000165261940175,0.0,0.0,0.0
ApplicationBased,0.0,1.2693784355055842,0.0,0.0,0.0,0.0
URL,0.0,1.0199203187251018,0.0,0.0,0.0,0.0
URN,0.0,0.0,1.0001999600080231,0.0,0.0,0.0
TXT,0.0,1.0038996161467872,0.0,0.0,0.36836341417077534,0.0
Autocomplete,0.0,0.8978174441566685,0.0,0.0,1.0430798860552162,0.0
GoogleSheetProvider,0.0,1.0540508618365703,0.0,0.0,0.0,0.0
PreviousAssignments,0.0,0.0,0.0,0.0,0.0,1.0
Codebook,0.0,2.0249845548631003,0.0,0.0,0.0,0.0
PDF,1.7057794574757068,0.0,0.0,0.0,0.0,0.0
Number,1.0479360852197084,0.0,0.0,0.0,0.0,0.0
AnnotatedPDF,0.0,0.0,1.0000840265523905,0.0,0.0,0.0
SentimentAnalysis,0.0,0.0,0.0,0.0,1.0003388681802778,0.0
Create,0.0,0.0,0.0,1.0001587049674654,0.0,0.0
GoogleSheetConsumer,0.0,1.0000968035468818,0.0,0.0,0.0,0.0
CodebookUpdate,0.0,1.1215009267702243,0.0,0.0,0.0,0.0
Export,0.0,0.8775454205207807,1.0014936717744796,0.0,0.0,0.0
BrowserStorage,0.0,1.0002288224795204,0.0,0.0,0.0,0.0
Dropbox,0.0,1.0008694140149534,0.0,0.0,0.0,0.0
BuiltIn,0.0,2.0393382976350516,0.0,0.0,0.0,0.0
Classifying,0.0,1.0005703668168595,0.0,0.0,0.6858815449630311,0.0
Replying,0.0,0.0,0.0,1.000061359236025,0.0,0.0
ACM,0.0,1.0008555118883589,0.660206370548468,0.0,0.0,0.0
Date,1.0657273160711138,0.38209939627309253,0.0,0.0,0.0,0.0
AnnotationList,1.0230379287757272,0.0,0.9537443486748435,0.0,0.0,0.0
Neo4J,1.003355199495604,0.0,0.0,0.0,0.0,0.0
RenameCodebook,0.0,1.0001550339524359,0.0,0.0,0.0,0.0
SuggestedLiterature,0.0,0.0,0.0,0.0,1.0001242081728978,0.0
Multivalued,0.0,1.0001772043832102,0.0,0.0,0.0,0.0
ImportCodebook,0.0,1.525899838672398,0.9830688021900821,0.0,0.0,0.0
