,precision
Delete,1.0
ScienceDirect,1.0
TextSummary,1.0
MoodleConsumer,1.0
LastAnnotation,1.0
Manual,1.0
Assessing,1.0
HTML,1.0
Update,1.0
Hypothesis,1.0
AnnotationServer,1.0
Hierarchy,1.0
MoodleReport,1.0
MoodleResource,1.0
Selector,1.0
DOI,1.0
Categorize,1.0
ExportCodebook,1.0
Springer,1.0
Canvas,1.0
UserFilter,1.0
Commenting,1.0
CodebookDelete,1.0
MoodleComment,1.0
SidebarNavigation,1.0
MoodleProvider,1.0
ImportAnnotations,1.0
Alphabetical,1.0
DeleteAll,1.0
Remote,1.0
JSON,1.0
ApplicationBased,1.0
URL,1.0
URN,1.0
TXT,1.0
Autocomplete,1.0
GoogleSheetProvider,1.0
PreviousAssignments,1.0
Codebook,1.0
PDF,1.0
Number,1.0
AnnotatedPDF,1.0
SentimentAnalysis,1.0
Create,1.0
GoogleSheetConsumer,1.0
CodebookUpdate,1.0
Export,1.0
BrowserStorage,1.0
Dropbox,1.0
BuiltIn,1.0
Classifying,1.0
Replying,1.0
ACM,1.0
Date,1.0
AnnotationList,1.0
Neo4J,1.0
RenameCodebook,1.0
SuggestedLiterature,1.0
Multivalued,1.0
ImportCodebook,1.0
